Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,home_prob,draw_prob,away_prob,home_elo,away_elo
2017-02-11,Allianz Football League Roinn 4,waterford,1,17,wicklow,1,9,0.4933582972071537,0.07692307692307693,0.4297186258697694,1457,1433
2017-02-12,Allianz Football League Roinn 1,monaghan,0,7,cavan,0,7,0.5024429919841928,0.07692307692307693,0.4206339310927302,1519,1489
2017-02-12,Allianz Football League Roinn 1,roscommon,2,9,donegal,0,16,0.42127305772640544,0.11875,0.45997694227359454,1493,1508
2017-02-12,Allianz Football League Roinn 2,clare,2,11,down,0,11,0.5868282342267634,0.07792207792207792,0.3352496878511586,1524,1427
2017-02-12,Allianz Football League Roinn 2,kildare,1,14,cork,1,8,0.4529970782475412,0.11875,0.4282529217524588,1522,1512
2017-02-12,Allianz Football League Roinn 2,fermanagh,0,10,galway,1,13,0.4313524648173879,0.11875,0.4498975351826121,1517,1524
2017-02-12,Allianz Football League Roinn 2,meath,3,15,derry,0,9,0.3940350911704758,0.04819277108433735,0.5577721377451869,1454,1515
2017-02-12,Allianz Football League Roinn 3,louth,0,11,longford,0,10,0.4380937176424164,0.11875,0.44315628235758364,1512,1514
2017-02-12,Allianz Football League Roinn 3,tipperary,1,16,sligo,2,14,0.5629386733947417,0.061855670103092786,0.3752056565021656,1553,1482
2017-02-12,Allianz Football League Roinn 3,offaly,0,23,antrim,1,7,0.5120972845966281,0.07692307692307693,0.41097963848029495,1484,1445
2017-02-12,Allianz Football League Roinn 3,armagh,0,16,laois,2,11,0.41651928549192185,0.08771929824561403,0.4957614162624641,1448,1479
2017-02-12,Allianz Football League Roinn 4,carlow,0,16,london,2,15,0.490407822103986,0.07692307692307693,0.4326691009729371,1474,1452
2017-02-12,Allianz Football League Roinn 4,limerick,0,12,westmeath,1,18,0.4195841453540343,0.08771929824561403,0.49269655640035165,1457,1485
2017-02-12,Allianz Football League Roinn 4,leitrim,0,14,wexford,0,16,0.4489561394715453,0.11875,0.43229386052845475,1490,1483
2017-02-25,Allianz Football League Roinn 1,mayo,1,19,roscommon,0,14,0.6006638543981044,0.07792207792207792,0.32141406767981767,1586,1478
2017-02-25,Allianz Football League Roinn 2,down,1,13,meath,0,14,0.37106712654669877,0.04819277108433735,0.5807401023689639,1412,1489
2017-02-25,Allianz Football League Roinn 3,laois,1,10,tipperary,1,16,0.4031982030332062,0.08771929824561403,0.5090824987211797,1493,1534
2017-02-25,Allianz Football League Roinn 4,carlow,1,10,limerick,0,10,0.4847590294915942,0.07692307692307693,0.43831789358532885,1453,1435
2017-02-26,Allianz Football League Roinn 1,donegal,2,5,dublin,1,8,0.2848773812622201,0.15584415584415584,0.559278462893624,1524,1641
2017-02-26,Allianz Football League Roinn 1,kerry,1,10,monaghan,2,8,0.5198691778103834,0.07692307692307693,0.4032077452665396,1562,1518
2017-02-26,Allianz Football League Roinn 2,cork,1,14,fermanagh,0,9,0.434196291694465,0.11875,0.447053708305535,1491,1496
2017-02-26,Allianz Football League Roinn 2,derry,1,18,kildare,1,17,0.39124697437951894,0.04819277108433735,0.5605602545361437,1480,1542
2017-02-26,Allianz Football League Roinn 2,galway,3,13,clare,1,11,0.4475348904051494,0.11875,0.4337151095948506,1545,1539
2017-02-26,Allianz Football League Roinn 3,offaly,0,14,louth,2,13,0.4308712436503606,0.08771929824561403,0.4814094581040253,1509,1528
2017-02-26,Allianz Football League Roinn 3,longford,3,9,armagh,3,11,0.5545019373223541,0.061855670103092786,0.38364239257455307,1498,1434
2017-02-26,Allianz Football League Roinn 3,antrim,0,11,sligo,1,7,0.3668205271420266,0.04819277108433735,0.584986701773636,1421,1502
2017-02-26,Allianz Football League Roinn 4,wexford,1,9,waterford,0,10,0.4905861193777256,0.07692307692307693,0.43249080369919746,1501,1479
2017-02-26,Allianz Football League Roinn 4,wicklow,0,17,london,2,4,0.3926251248314559,0.04819277108433735,0.5591821040842068,1412,1473
2017-02-26,Allianz Football League Roinn 4,westmeath,2,18,leitrim,1,9,0.5073620475159387,0.07692307692307693,0.4157148755609843,1507,1473
2017-03-04,Allianz Football League Roinn 1,dublin,1,16,mayo,0,7,0.5059221005312987,0.07692307692307693,0.4171548225456243,1636,1602
2017-03-04,Allianz Football League Roinn 1,cavan,0,11,donegal,1,16,0.40563507682966593,0.08771929824561403,0.50664562492472,1490,1528
2017-03-04,Allianz Football League Roinn 1,tyrone,0,14,monaghan,0,10,0.5105637435934242,0.07692307692307693,0.4125131794834989,1573,1536
2017-03-04,Allianz Football League Roinn 4,limerick,1,13,london,0,12,0.4175284225621711,0.08771929824561403,0.4947522791922148,1418,1448
2017-03-05,Allianz Football League Roinn 1,roscommon,1,13,kerry,1,19,0.3649954470326637,0.04819277108433735,0.5868117818829991,1462,1544
2017-03-05,Allianz Football League Roinn 2,kildare,4,14,fermanagh,0,14,0.5275027057239098,0.07692307692307693,0.3955742173530133,1523,1473
2017-03-05,Allianz Football League Roinn 2,meath,1,13,galway,0,15,0.3051643357487162,0.15584415584415584,0.538991508407128,1469,1568
2017-03-05,Allianz Football League Roinn 2,clare,2,11,cork,0,9,0.44325563474494195,0.11875,0.437994365255058,1517,1515
2017-03-05,Allianz Football League Roinn 2,derry,1,7,down,1,15,0.5570701009225142,0.061855670103092786,0.38107422897439297,1498,1432
2017-03-05,Allianz Football League Roinn 3,louth,2,10,antrim,1,11,0.598180477597637,0.07792207792207792,0.323897444480285,1547,1440
2017-03-05,Allianz Football League Roinn 3,armagh,6,22,offaly,0,10,0.4091446118803619,0.08771929824561403,0.5031360898740241,1454,1490
2017-03-05,Allianz Football League Roinn 3,sligo,0,18,laois,2,10,0.44991958351181016,0.11875,0.43133041648818987,1482,1475
2017-03-05,Allianz Football League Roinn 4,leitrim,2,14,carlow,2,12,0.4280017490154409,0.08771929824561403,0.48427895273894506,1448,1470
2017-03-05,Allianz Football League Roinn 4,waterford,2,11,westmeath,3,13,0.3830339099376778,0.04819277108433735,0.5687733189779849,1463,1532
2017-03-05,Allianz Football League Roinn 4,wicklow,0,13,wexford,1,13,0.3697857056355754,0.04819277108433735,0.5820215232800873,1438,1517
2017-03-11,Allianz Football League Roinn 3,tipperary,3,17,longford,0,18,0.5683360950534514,0.061855670103092786,0.36980823484345576,1552,1478
2017-03-12,Allianz Football League Roinn 1,tyrone,0,19,cavan,1,9,0.6150775050735492,0.07792207792207792,0.30700041700437286,1590,1469
2017-03-18,Allianz Football League Roinn 1,donegal,0,12,tyrone,0,6,0.4000791894488858,0.04819277108433735,0.5517280394667768,1549,1605
2017-03-18,Allianz Football League Roinn 1,kerry,0,13,dublin,0,13,0.3038152843878356,0.15584415584415584,0.5403405597680087,1560,1660
2017-03-18,Allianz Football League Roinn 2,down,0,10,kildare,2,9,0.35972756801679523,0.04819277108433735,0.5920796608988674,1460,1546
2017-03-18,Allianz Football League Roinn 4,carlow,2,10,waterford,0,7,0.4468916535983226,0.11875,0.43435834640167736,1452,1447
2017-03-19,Allianz Football League Roinn 1,mayo,0,15,cavan,1,14,0.6180553019070374,0.07792207792207792,0.3040226201708847,1578,1455
2017-03-19,Allianz Football League Roinn 1,monaghan,2,17,roscommon,1,13,0.5668590505776889,0.061855670103092786,0.3712852793192183,1519,1446
2017-03-19,Allianz Football League Roinn 2,fermanagh,0,18,clare,1,10,0.3154882786683699,0.15584415584415584,0.5286675654874743,1450,1540
2017-03-19,Allianz Football League Roinn 2,cork,0,18,meath,1,15,0.4440780243792001,0.11875,0.43717197562079996,1492,1489
2017-03-19,Allianz Football League Roinn 2,galway,5,15,derry,2,15,0.5701560799141338,0.061855670103092786,0.3679882499827735,1547,1471
2017-03-19,Allianz Football League Roinn 3,antrim,1,10,laois,0,11,0.4172243894994088,0.08771929824561403,0.4950563122549772,1428,1458
2017-03-19,Allianz Football League Roinn 3,louth,0,11,armagh,3,15,0.5430837285654219,0.061855670103092786,0.3950606013314854,1559,1503
2017-03-19,Allianz Football League Roinn 3,longford,0,16,sligo,2,7,0.4049932897913836,0.08771929824561403,0.5072874119630024,1459,1499
2017-03-19,Allianz Football League Roinn 3,offaly,2,11,tipperary,2,15,0.2899650358156605,0.09615384615384616,0.6138811180304933,1440,1570
2017-03-19,Allianz Football League Roinn 4,wexford,0,15,london,0,9,0.5946517583937397,0.07792207792207792,0.3274261636841823,1531,1427
2017-03-19,Allianz Football League Roinn 4,limerick,2,11,leitrim,0,15,0.4198976940678376,0.08771929824561403,0.4923830076865484,1439,1466
2017-03-19,Allianz Football League Roinn 4,westmeath,0,19,wicklow,0,14,0.6187068535095833,0.07792207792207792,0.30337106856833873,1548,1424
2017-03-25,Allianz Football League Roinn 1,dublin,2,29,roscommon,0,14,0.7878599565154909,0,0.2121400434845091,1656,1428
2017-03-25,Allianz Football League Roinn 3,armagh,1,12,antrim,0,13,0.5767999122747527,0.07792207792207792,0.3452780098031694,1536,1447
2017-03-25,Allianz Football League Roinn 3,laois,3,13,longford,0,13,0.40390926266571187,0.08771929824561403,0.5083714390886741,1440,1479
2017-03-25,Allianz Football League Roinn 4,waterford,0,8,limerick,0,14,0.4117425254388549,0.08771929824561403,0.500538176315531,1423,1457
2017-03-26,Allianz Football League Roinn 1,cavan,3,10,kerry,0,13,0.3592154652286316,0.04819277108433735,0.592591763687031,1478,1564
2017-03-26,Allianz Football League Roinn 1,tyrone,0,12,mayo,1,10,0.49497004750223406,0.07692307692307693,0.428106875574689,1580,1555
2017-03-26,Allianz Football League Roinn 1,donegal,1,11,monaghan,1,11,0.5101876421926481,0.07692307692307693,0.412889280884275,1573,1537
2017-03-26,Allianz Football League Roinn 2,derry,2,10,cork,0,20,0.4044497882985034,0.08771929824561403,0.5078309134558826,1452,1492
2017-03-26,Allianz Football League Roinn 2,meath,3,15,fermanagh,0,6,0.4586543055029664,0.11875,0.42259569449703366,1489,1475
2017-03-26,Allianz Football League Roinn 2,down,1,13,galway,3,15,0.28038390045817096,0.15584415584415584,0.5637719436976731,1445,1566
2017-03-26,Allianz Football League Roinn 2,kildare,0,18,clare,1,14,0.5232951239645638,0.07692307692307693,0.3997817991123593,1561,1515
2017-03-26,Allianz Football League Roinn 3,tipperary,0,12,louth,0,16,0.5443899135128683,0.061855670103092786,0.393754416384039,1583,1526
2017-03-26,Allianz Football League Roinn 3,sligo,2,10,offaly,2,14,0.528380497267633,0.07692307692307693,0.3946964258092901,1479,1428
2017-03-26,Allianz Football League Roinn 4,leitrim,2,16,london,0,15,0.5091424560905273,0.07692307692307693,0.4139344669863957,1448,1412
2017-03-26,Allianz Football League Roinn 4,wexford,0,9,westmeath,3,24,0.4212560636229769,0.11875,0.4599939363770231,1546,1561
2017-03-26,Allianz Football League Roinn 4,wicklow,0,10,carlow,1,18,0.38830391020396704,0.04819277108433735,0.5635033187116957,1411,1475
2017-04-01,Allianz Football League Roinn 4,leitrim,1,13,waterford,2,8,0.5539577969768228,0.061855670103092786,0.38418653292008437,1468,1404
2017-04-02,Allianz Football League Roinn 1,monaghan,1,15,dublin,2,15,0.28658159627924085,0.09615384615384616,0.6172645575669129,1538,1671
2017-04-02,Allianz Football League Roinn 1,mayo,1,12,donegal,0,13,0.4414737756926551,0.11875,0.43977622430734487,1572,1572
2017-04-02,Allianz Football League Roinn 1,kerry,1,21,tyrone,2,11,0.42349286988882373,0.08771929824561403,0.4887878318655622,1538,1563
2017-04-02,Allianz Football League Roinn 1,roscommon,1,13,cavan,1,10,0.3142424561279675,0.15584415584415584,0.5299133880278767,1413,1504
2017-04-02,Allianz Football League Roinn 2,galway,0,14,kildare,0,13,0.4481852880376524,0.11875,0.4330647119623476,1581,1575
2017-04-02,Allianz Football League Roinn 2,cork,1,10,down,0,13,0.5742978162102482,0.061855670103092786,0.36384651368665893,1509,1429
2017-04-02,Allianz Football League Roinn 2,clare,1,13,meath,3,19,0.42970943453920085,0.08771929824561403,0.4825712672151852,1501,1521
2017-04-02,Allianz Football League Roinn 2,fermanagh,0,13,derry,2,8,0.4508033583973411,0.11875,0.4304466416026589,1443,1435
2017-04-02,Allianz Football League Roinn 2,antrim,1,13,longford,0,16,0.43154053963850275,0.08771929824561403,0.4807401621158832,1434,1453
2017-04-02,Allianz Football League Roinn 3,louth,1,11,sligo,0,17,0.5797660866061799,0.07792207792207792,0.34231183547174215,1548,1457
2017-04-02,Allianz Football League Roinn 3,armagh,0,16,tipperary,3,8,0.42549228253582544,0.11875,0.4557577174641746,1549,1561
2017-04-02,Allianz Football League Roinn 3,offaly,3,15,laois,4,11,0.4195566840154944,0.11875,0.46169331598450564,1450,1466
2017-04-02,Allianz Football League Roinn 4,carlow,2,14,wexford,1,7,0.4258521249286068,0.11875,0.45539787507139323,1497,1508
2017-04-02,Allianz Football League Roinn 4,westmeath,3,26,london,1,9,0.7657744991339371,0,0.23422550086606286,1598,1392
2017-04-02,Allianz Football League Roinn 4,limerick,2,13,wicklow,9,2,0.5835337047588044,0.061855670103092786,0.3546106251381028,1476,1389
2017-04-08,Allianz Football League Roinn 3,louth,0,19,tipperary,3,19,0.39061395200312127,0.08771929824561403,0.5216667497512646,1526,1576
2017-04-08,Allianz Football League Roinn 4,westmeath,2,24,wexford,2,11,0.599100630537782,0.12307692307692308,0.277822446385295,1616,1482
2017-04-09,Allianz Football League Roinn 1,dublin,1,16,kerry,0,20,0.615270908048701,0.07792207792207792,0.30680701402922106,1683,1562
2017-04-09,Allianz Football League Roinn 2,kildare,0,16,galway,0,18,0.40721082566170586,0.08771929824561403,0.5050698760926802,1560,1597
2017-05-07,Connacht GAA Football Senior Championship,new_york,1,13,sligo,1,21,0.4463983918011597,0.11875,0.4348516081988403,1484,1479
2017-05-20,Ulster GAA Football Senior Championship,monaghan,1,20,fermanagh,1,11,0.5897217631334081,0.07792207792207792,0.33235615894451404,1527,1427
2017-05-21,Connacht GAA Football Senior Championship,mayo,2,14,sligo,0,11,0.5835887256057087,0.061855670103092786,0.3545556042911985,1589,1503
2017-05-21,Leinster GAA Football Senior Championship,louth,1,19,wicklow,1,14,0.5810903455801304,0.061855670103092786,0.3570539843167768,1505,1421
2017-05-21,Leinster GAA Football Senior Championship,laois,4,15,longford,0,16,0.43755761275989624,0.11875,0.44369238724010385,1450,1452
2017-05-21,Leinster GAA Football Senior Championship,carlow,2,17,wexford,2,13,0.5463500075353431,0.061855670103092786,0.3917943223615641,1522,1465
2017-05-21,Ulster GAA Football Senior Championship,donegal,3,19,antrim,1,9,0.6141508369312046,0.07792207792207792,0.30792708514671746,1555,1435
2017-05-27,Munster GAA Football Senior Championship,waterford,1,11,cork,1,12,0.28720675180244354,0.15584415584415584,0.5569490923534006,1390,1505
2017-05-28,Connacht GAA Football Senior Championship,london,0,16,leitrim,3,10,0.29588423206319703,0.15584415584415584,0.5482716120926471,1374,1482
2017-05-28,Munster GAA Football Senior Championship,clare,1,13,limerick,1,12,0.5019230297593102,0.07692307692307693,0.4211538933176128,1475,1445
2017-05-28,Ulster GAA Football Senior Championship,derry,0,11,tyrone,0,22,0.3580018574187744,0.04819277108433735,0.5938053714968883,1452,1540
2017-06-03,Leinster GAA Football Senior Championship,dublin,0,19,carlow,0,7,0.6179484827290378,0.07792207792207792,0.3041294393488843,1661,1538
2017-06-04,Leinster GAA Football Senior Championship,meath,0,27,louth,3,9,0.49601452010326946,0.07692307692307693,0.4270624029736536,1546,1520
2017-06-04,Leinster GAA Football Senior Championship,kildare,1,21,laois,1,7,0.5606263573721729,0.061855670103092786,0.37751797252473424,1544,1476
2017-06-04,Ulster GAA Football Senior Championship,down,0,15,armagh,2,7,0.3033703345784348,0.15584415584415584,0.5407855095774095,1433,1533
2017-06-10,Munster GAA Football Senior Championship,cork,1,10,tipperary,1,9,0.36774374066742843,0.04819277108433735,0.5840634882482342,1516,1597
2017-06-11,Connacht GAA Football Senior Championship,galway,0,15,mayo,1,11,0.44656572557862517,0.11875,0.4346842744213748,1612,1607
2017-06-11,Leinster GAA Football Senior Championship,offaly,0,10,westmeath,0,10,0.2497931500685951,0.09615384615384616,0.6540530037775587,1466,1634
