Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,total_home_score,total_away_score
7/25/21,Connacht GAA Football Senior Championship,Galway,2,8,Mayo,2,14,14,20
7/25/21,Munster GAA Football Senior Championship,Kerry,4,22,Cork,1,9,34,12
7/31/21,Ulster GAA Football Senior Championship,Monaghan,0,15,Tyrone,0,16,15,16
8/1/21,Leinster GAA Football Senior Championship,Dublin,0,20,Kildare,1,9,20,12
8/14/21,GAA Football All-Ireland Senior Championship,Dublin,0,14,Mayo,0,17,14,17
8/28/21,GAA Football All-Ireland Senior Championship,Kerry,0,22,Tyrone,3,14,22,23
9/11/21,GAA Football All-Ireland Senior Championship,Mayo,0,15,Tyrone,2,14,15,20
1/29/22,Allianz Football League Roinn 1,Dublin,1,13,Armagh,2,15,16,21
1/29/22,Allianz Football League Roinn 2,Derry,1,10,Down,0,6,13,6
1/29/22,Allianz Football League Roinn 3,Limerick,4,9,Longford,1,11,21,14
1/29/22,Allianz Football League Roinn 3,Fermanagh,0,8,Antrim,1,14,8,17
1/29/22,Allianz Football League Roinn 4,Carlow,1,13,London,2,11,16,17
1/30/22,Allianz Football League Roinn 1,Kildare,0,13,Kerry,1,10,13,13
1/30/22,Allianz Football League Roinn 1,Mayo,0,11,Donegal,0,11,11,11
1/30/22,Allianz Football League Roinn 1,Tyrone,0,9,Monaghan,0,9,9,9
1/30/22,Allianz Football League Roinn 2,Roscommon,1,13,Cork,0,10,16,10
1/30/22,Allianz Football League Roinn 2,Galway,1,14,Meath,0,6,17,6
1/30/22,Allianz Football League Roinn 2,Clare,1,13,Offaly,0,7,16,7
1/30/22,Allianz Football League Roinn 3,Westmeath,1,16,Wicklow,2,8,19,14
1/30/22,Allianz Football League Roinn 3,Louth,1,10,Laois,3,9,13,18
1/30/22,Allianz Football League Roinn 4,Leitrim,0,8,Cavan,0,12,8,12
1/30/22,Allianz Football League Roinn 4,Wexford,0,10,Sligo,0,12,10,12
1/30/22,Allianz Football League Roinn 4,Waterford,0,10,Tipperary,0,10,10,10
2/5/22,Allianz Football League Roinn 1,Kerry,1,15,Dublin,0,11,18,11
2/5/22,Allianz Football League Roinn 2,Down,0,9,Galway,1,12,9,15
2/5/22,Allianz Football League Roinn 2,Cork,1,13,Clare,1,13,16,16
2/5/22,Allianz Football League Roinn 3,Antrim,0,11,Limerick,2,9,11,15
2/6/22,Allianz Football League Roinn 1,Armagh,2,14,Tyrone,0,14,20,14
2/6/22,Allianz Football League Roinn 1,Monaghan,1,11,Mayo,2,10,14,16
2/6/22,Allianz Football League Roinn 1,Donegal,2,11,Kildare,1,9,17,12
2/6/22,Allianz Football League Roinn 2,Offaly,0,7,Derry,2,13,7,19
2/6/22,Allianz Football League Roinn 2,Meath,1,11,Roscommon,1,15,14,18
2/6/22,Allianz Football League Roinn 3,Longford,0,9,Louth,1,6,9,9
2/6/22,Allianz Football League Roinn 3,Laois,0,11,Westmeath,2,11,11,17
2/6/22,Allianz Football League Roinn 3,Wicklow,1,10,Fermanagh,2,7,13,13
2/6/22,Allianz Football League Roinn 4,Sligo,0,28,Carlow,0,5,28,5
2/6/22,Allianz Football League Roinn 4,London,1,12,Waterford,2,8,15,14
2/6/22,Allianz Football League Roinn 4,Tipperary,2,8,Leitrim,2,16,14,22
2/6/22,Allianz Football League Roinn 4,Cavan,0,17,Wexford,1,8,17,11
2/19/22,Allianz Football League Roinn 1,Armagh,1,7,Monaghan,0,10,10,10
2/19/22,Allianz Football League Roinn 1,Dublin,0,12,Mayo,2,11,12,17
2/19/22,Allianz Football League Roinn 3,Antrim,2,10,Wicklow,1,7,16,10
2/19/22,Allianz Football League Roinn 3,Carlow,2,12,Waterford,2,8,18,14
2/20/22,Allianz Football League Roinn 1,Kerry,1,13,Donegal,0,7,16,7
2/20/22,Allianz Football League Roinn 1,Tyrone,2,7,Kildare,0,12,13,12
2/20/22,Allianz Football League Roinn 2,Derry,1,13,Cork,0,7,16,7
2/20/22,Allianz Football League Roinn 2,Roscommon,0,9,Clare,0,9,9,9
2/20/22,Allianz Football League Roinn 2,Meath,2,6,Down,2,6,12,12
2/20/22,Allianz Football League Roinn 3,Limerick,1,12,Louth,1,14,15,17
2/20/22,Allianz Football League Roinn 4,Leitrim,0,9,London,2,5,9,11
2/26/22,Allianz Football League Roinn 1,Donegal,2,10,Tyrone,0,12,16,12
2/26/22,Allianz Football League Roinn 2,Offaly,1,10,Meath,1,10,13,13
2/26/22,Allianz Football League Roinn 2,Down,0,10,Roscommon,1,18,10,21
2/26/22,Allianz Football League Roinn 2,Cork,2,17,Galway,3,22,23,31
2/26/22,Allianz Football League Roinn 3,Wicklow,1,9,Limerick,1,13,12,16
2/26/22,Allianz Football League Roinn 3,Laois,1,8,Antrim,1,8,11,11
2/26/22,Allianz Football League Roinn 4,Tipperary,1,13,Sligo,1,9,16,12
2/27/22,Allianz Football League Roinn 1,Kildare,1,12,Dublin,0,12,15,12
2/27/22,Allianz Football League Roinn 1,Monaghan,1,12,Kerry,3,14,15,23
2/27/22,Allianz Football League Roinn 1,Mayo,0,15,Armagh,1,10,15,13
2/27/22,Allianz Football League Roinn 2,Clare,0,10,Derry,2,13,10,19
