Date,competition,team1,team1_goals,team1_points,team2,team2_goals,team2_points,team1_score,team2_score,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,Season_Year
3/19/17,Allianz Football League Roinn 2,Fermanagh,0,18,Clare,1,10,18,13,1457.48621,1526.825532,40,60,1478.277667,1506.034074,2017
3/19/17,Allianz Football League Roinn 2,Cork,0,18,Meath,1,15,18,18,1494.00539,1491.385402,50,50,1494.00539,1491.385402,2017
3/19/17,Allianz Football League Roinn 2,Galway,5,15,Derry,2,15,30,21,1546.405055,1463.161868,62,38,1563.375153,1446.191769,2017
3/19/17,Allianz Football League Roinn 3,Antrim,1,10,Laois,0,11,13,11,1440.150713,1459.134577,47,53,1451.637401,1447.647888,2017
3/19/17,Allianz Football League Roinn 3,Louth,0,11,Armagh,3,15,11,24,1551.621911,1515.415227,55,45,1522.962718,1544.07442,2017
3/19/17,Allianz Football League Roinn 3,Longford,0,16,Sligo,2,7,16,13,1475.830953,1500.73096,46,54,1490.51948,1486.042432,2017
3/19/17,Allianz Football League Roinn 3,Offaly,2,11,Tipperary,2,15,17,21,1462.734803,1561.036746,36,64,1451.575007,1572.196543,2017
3/19/17,Allianz Football League Roinn 4,Wexford,0,15,London,0,9,15,9,1531.695173,1449.624053,62,38,1546.103769,1435.215457,2017
3/19/17,Allianz Football League Roinn 4,Limerick,2,11,Leitrim,0,15,17,15,1454.478443,1477.93359,47,53,1466.081403,1466.33063,2017
3/19/17,Allianz Football League Roinn 4,Westmeath,0,19,Wicklow,0,14,19,14,1545.597074,1444.451888,64,36,1557.876492,1432.17247,2017
3/25/17,Allianz Football League Roinn 1,Dublin,2,29,Roscommon,0,14,35,14,1613.450195,1433.373869,74,26,1628.410706,1418.413357,2017
3/25/17,Allianz Football League Roinn 3,Armagh,1,12,Antrim,0,13,15,13,1544.07442,1451.637401,63,37,1551.876863,1443.834958,2017
3/25/17,Allianz Football League Roinn 3,Laois,3,13,Longford,0,13,22,13,1447.647888,1490.51948,44,56,1473.006501,1465.160868,2017
3/25/17,Allianz Football League Roinn 4,Waterford,0,8,Limerick,0,14,8,14,1447.394438,1466.081403,47,53,1429.136032,1484.339808,2017
3/26/17,Allianz Football League Roinn 1,Cavan,3,10,Kerry,0,13,19,13,1468.473753,1553.058425,38,62,1491.686359,1529.845819,2017
3/26/17,Allianz Football League Roinn 1,Tyrone,0,12,Mayo,1,10,12,13,1561.014161,1535.968265,54,46,1553.667515,1543.31491,2017
3/26/17,Allianz Football League Roinn 1,Donegal,1,11,Monaghan,1,11,14,14,1550.104044,1528.702429,53,47,1550.104044,1528.702429,2017
3/26/17,Allianz Football League Roinn 2,Derry,2,10,Cork,0,20,16,20,1446.191769,1494.00539,43,57,1432.593928,1507.603231,2017
3/26/17,Allianz Football League Roinn 2,Meath,3,15,Fermanagh,0,6,24,6,1491.385402,1478.277667,52,48,1519.551651,1450.111418,2017
3/26/17,Allianz Football League Roinn 2,Down,1,13,Galway,3,15,16,24,1458.068808,1563.375153,35,65,1443.268015,1578.175947,2017
3/26/17,Allianz Football League Roinn 2,Kildare,0,18,Clare,1,14,18,17,1567.97088,1506.034074,59,41,1573.523297,1500.481658,2017
3/26/17,Allianz Football League Roinn 3,Tipperary,0,12,Louth,0,16,12,16,1572.196543,1522.962718,57,43,1554.238515,1540.920745,2017
3/26/17,Allianz Football League Roinn 3,Sligo,2,10,Offaly,2,14,16,20,1486.042432,1451.575007,55,45,1468.629434,1468.988005,2017
3/26/17,Allianz Football League Roinn 4,Leitrim,2,16,London,0,15,22,15,1466.33063,1435.215457,54,46,1485.003632,1416.542454,2017
3/26/17,Allianz Football League Roinn 4,Wexford,0,9,Westmeath,3,24,9,33,1546.103769,1557.876492,48,52,1515.170827,1588.809434,2017
3/26/17,Allianz Football League Roinn 4,Wicklow,0,10,Carlow,1,18,10,21,1432.17247,1490.669484,42,58,1412.00436,1510.837594,2017
4/1/17,Allianz Football League Roinn 4,Leitrim,1,13,Waterford,2,8,16,14,1485.003632,1429.136032,58,42,1494.009558,1420.130107,2017
4/2/17,Allianz Football League Roinn 1,Monaghan,1,15,Dublin,2,15,18,21,1528.702429,1628.410706,36,64,1519.145329,1637.967806,2017
4/2/17,Allianz Football League Roinn 1,Mayo,1,12,Donegal,0,13,15,13,1543.31491,1550.104044,49,51,1554.481223,1538.93773,2017
4/2/17,Allianz Football League Roinn 1,Kerry,1,21,Tyrone,2,11,24,17,1529.845819,1553.667515,47,53,1551.82576,1531.687574,2017
4/2/17,Allianz Football League Roinn 1,Roscommon,1,13,Cavan,1,10,16,13,1418.413357,1491.686359,40,60,1434.617662,1475.482054,2017
4/2/17,Allianz Football League Roinn 2,Galway,0,14,Kildare,0,13,14,13,1578.175947,1573.523297,51,49,1585.00017,1566.699074,2017
4/2/17,Allianz Football League Roinn 2,Cork,1,10,Down,0,13,13,13,1507.603231,1443.268015,59,41,1507.603231,1443.268015,2017
4/2/17,Allianz Football League Roinn 2,Clare,1,13,Meath,3,19,16,28,1500.481658,1519.551651,47,53,1476.446935,1543.586374,2017
4/2/17,Allianz Football League Roinn 2,Fermanagh,0,13,Derry,2,8,13,14,1450.111418,1432.593928,53,47,1442.888276,1439.81707,2017
4/2/17,Allianz Football League Roinn 2,Antrim,1,13,Longford,0,16,16,16,1443.834958,1465.160868,47,53,1443.834958,1465.160868,2017
4/2/17,Allianz Football League Roinn 3,Louth,1,11,Sligo,0,17,14,17,1540.920745,1468.629434,60,40,1524.745747,1484.804432,2017
4/2/17,Allianz Football League Roinn 3,Armagh,0,16,Tipperary,3,8,16,17,1551.876863,1554.238515,50,50,1544.999888,1561.115489,2017
4/2/17,Allianz Football League Roinn 3,Offaly,3,15,Laois,4,11,24,23,1468.988005,1473.006501,49,51,1475.98686,1466.007646,2017
4/2/17,Allianz Football League Roinn 4,Carlow,2,14,Wexford,1,7,20,10,1510.837594,1515.170827,49,51,1535.067872,1490.940548,2017
4/2/17,Allianz Football League Roinn 4,Westmeath,3,26,London,1,9,35,12,1588.809434,1416.542454,73,27,1604.759286,1400.592602,2017
4/2/17,Allianz Football League Roinn 4,Limerick,2,13,Wicklow,9,2,19,29,1484.339808,1412.00436,60,40,1456.359376,1439.984792,2017
4/8/17,Allianz Football League Roinn 3,Louth,0,19,Tipperary,3,19,19,28,1524.745747,1561.115489,45,55,1504.456898,1581.404339,2017
4/8/17,Allianz Football League Roinn 4,Westmeath,2,24,Wexford,2,11,30,17,1604.759286,1490.940548,66,34,1621.913463,1473.786372,2017
4/9/17,Allianz Football League Roinn 1,Dublin,1,16,Kerry,0,20,19,20,1637.967806,1551.82576,62,38,1629.676777,1560.116789,2017
4/9/17,Allianz Football League Roinn 2,Kildare,0,16,Galway,0,18,16,18,1566.699074,1585.00017,47,53,1556.376974,1595.32227,2017
5/7/17,Connacht GAA Football Senior Championship,New_york,1,13,Sligo,1,21,16,24,1497.045685,1484.804432,52,48,1474.425472,1507.424646,2017
5/20/17,Ulster GAA Football Senior Championship,Monaghan,1,20,Fermanagh,1,11,23,14,1519.145329,1442.888276,61,39,1536.592212,1425.441393,2017
5/21/17,Connacht GAA Football Senior Championship,Mayo,2,14,Sligo,0,11,20,11,1554.481223,1507.424646,57,43,1573.990107,1487.915762,2017
5/21/17,Leinster GAA Football Senior Championship,Louth,1,19,Wicklow,1,14,22,17,1504.456898,1439.984792,59,41,1518.670705,1425.770985,2017
