Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,total_home_score,total_away_score,home_prob,draw_prob,away_prob,home_elo,away_elo
4/8/17,Allianz Football League Roinn 3,Louth,0,19,Tipperary,3,19,19,28,0.451245372,0.117647059,0.548754628,1519,1553
4/8/17,Allianz Football League Roinn 4,Westmeath,2,24,Wexford,2,11,30,17,0.649579549,0.106666667,0.350420451,1588,1481
4/9/17,Allianz Football League Roinn 1,Dublin,1,16,Kerry,0,20,19,20,0.622234427,0.057377049,0.377765573,1635,1549
4/9/17,Allianz Football League Roinn 2,Kildare,0,16,Galway,0,18,16,18,0.468043625,0.117647059,0.531956375,1545,1567
5/7/17,Connacht GAA Football Senior Championship,New_york,1,13,Sligo,1,21,16,24,0.507993241,0.105990783,0.492006759,1492,1486
5/20/17,Ulster GAA Football Senior Championship,Monaghan,1,20,Fermanagh,1,11,23,14,0.603721753,0.057377049,0.396278247,1521,1447
5/21/17,Connacht GAA Football Senior Championship,Mayo,2,14,Sligo,0,11,20,11,0.58502751,0.057377049,0.41497249,1561,1502
5/21/17,Leinster GAA Football Senior Championship,Louth,1,19,Wicklow,1,14,22,17,0.586986502,0.057377049,0.413013498,1504,1443
5/21/17,Leinster GAA Football Senior Championship,Laois,4,15,Longford,0,16,27,16,0.502878236,0.105990783,0.497121764,1469,1467
5/21/17,Leinster GAA Football Senior Championship,Carlow,2,17,Wexford,2,13,23,19,0.573934037,0.068322981,0.426065963,1518,1466
5/21/17,Ulster GAA Football Senior Championship,Donegal,3,19,Antrim,1,9,28,12,0.617394284,0.057377049,0.382605716,1535,1452
5/27/17,Munster GAA Football Senior Championship,Waterford,1,11,Cork,1,12,14,15,0.392796807,0.101694915,0.607203193,1429,1505
5/28/17,Connacht GAA Football Senior Championship,London,0,16,Leitrim,3,10,16,19,0.391576645,0.101694915,0.608423355,1408,1484
5/28/17,Munster GAA Football Senior Championship,Clare,1,13,Limerick,1,12,16,15,0.528273487,0.068322981,0.471726513,1481,1461
5/28/17,Ulster GAA Football Senior Championship,Derry,0,11,Tyrone,0,22,11,22,0.394343084,0.101694915,0.605656916,1458,1533
6/3/17,Leinster GAA Football Senior Championship,Dublin,0,19,Carlow,0,7,19,7,0.636235717,0.106666667,0.363764283,1625,1528
6/4/17,Leinster GAA Football Senior Championship,Meath,0,27,Louth,3,9,27,18,0.530065864,0.068322981,0.469934136,1535,1514
6/4/17,Leinster GAA Football Senior Championship,Kildare,1,21,Laois,1,7,24,10,0.56875746,0.068322981,0.43124254,1536,1488
6/4/17,Ulster GAA Football Senior Championship,Down,0,15,Armagh,2,7,15,13,0.37727373,0.101694915,0.62272627,1445,1532
6/10/17,Munster GAA Football Senior Championship,Cork,1,10,Tipperary,1,9,13,12,0.420637362,0.101694915,0.579362638,1512,1567
6/11/17,Connacht GAA Football Senior Championship,Galway,0,15,Mayo,1,11,15,14,0.500877835,0.105990783,0.499122165,1576,1575
6/11/17,Leinster GAA Football Senior Championship,Offaly,0,10,Westmeath,0,10,10,10,0.32166324,0.122807018,0.67833676,1472,1602
6/11/17,Munster GAA Football Senior Championship,Clare,1,12,Kerry,1,18,15,21,0.4002594,0.101694915,0.5997406,1489,1559
6/11/17,Ulster GAA Football Senior Championship,Cavan,0,15,Monaghan,1,15,15,18,0.427105995,0.117647059,0.572894005,1483,1534
6/17/17,GAA Football All-Ireland Senior Championship,Waterford,0,13,Derry,1,17,13,20,0.469991303,0.117647059,0.530008697,1423,1444
6/17/17,GAA Football All-Ireland Senior Championship,Louth,1,10,Longford,2,15,13,21,0.571069882,0.068322981,0.428930118,1498,1449
6/17/17,GAA Football All-Ireland Senior Championship,Wicklow,3,10,Laois,2,16,19,22,0.44733602,0.117647059,0.55266398,1432,1469
6/17/17,GAA Football All-Ireland Senior Championship,Sligo,0,22,Antrim,3,7,22,16,0.577568079,0.057377049,0.422431921,1488,1434
